Date:,Crab ID:,Assignmend Amount (g):,Food In (g):,Time in:,Food Out (g):,Time out:,Initials:,Temperature:,Food Type:,Species:,Notes:
6/4/25,CM1,4.392,3.8327,3:34,0,4:27,,18,Squid,CM,All eaten 
6/4/25,CM 2,4.581,5.0133,3:32,1.4404,4:18,,18,Squid,CM,
6/4/25,CM 3,4.564,5.192,3:36,2.6218,4:28,,18,Squid,CM,
6/4/25,CM 4,3.4655,3.493,3:29,1.1071,4:25,,18,Squid,CM,
6/4/25,CM 5,3.8625,4.1971,3:30,1.7261,4:24,,18,Squid,CM,
6/4/25,CM 6 ,3.5975,3.3055,3:32,1.3796,4:26,,18,Squid,CM,
6/4/25,CI 7,9.223,11.27,3:49,11.4964,4:35,,18,Squid,CI,None Eaten
6/4/25,CI 8,11.029,12.2519,3:46,7.333,4:34,,18,Squid,CI,
6/4/25,CI 9 ,8.628,6.8958,3:50,7.1504,4:37,,18,Squid,CI,None Eaten 
6/4/25,HS 10,0.315,0.4843,3:37,0.3825,4:30,,18,Squid,HS,
6/4/25,HS 11,0.2835,0.3458,3:41,0.2915,4:32,,18,Squid,HS,
6/4/25,HS 12,0.1095,0.1381,3:27,0.1431,4:22,,18,Squid,HS,None Eaten
6/4/25,HS 13,0.3605,0.6127,3:25,0.3108,4:19,,18,Squid,HS,
6/4/25,HS 14 ,0.2395,0.2415,3:40,0,4:31,,18,Squid,HS,All eaten
6/4/25,HS 15,0.2195,0.1931,3:44,0.0187,4:32,,18,Squid,HS,
6/5/25,HS 16,0.24,0.268,10:57,0.0565,11:56,,16,Squid,HS,
6/5/25,HS 17 ,0.332,0.3457,11:06,0.1586,11:57,,16,Squid,HS,
6/5/25,HS 18,0.3015,0.2635,11:08,0,11:59,,16,Squid,HS,All eaten
6/5/25,HS 19 ,0.1583,0.2684,11:05,0.1435,11:59,,16,Squid,HS,None eaten 
6/5/25,HS 20,0.14,0.2093,11:00,0.0758,11:58,,16,Squid,HS,
6/5/25,HS 21,0.142,0.1107,11:02,0.106,12:00,,16,Squid,HS,
6/5/25,CM 22,3.213,3.4133,11:24,0.6385,12:01,,16,Squid,CM,
6/5/25,CM 23 ,2.3595,2.0264,11:12,0,12:03,,16,Squid,CM,All eaten
6/5/25,CM 24 ,4.1085,4.1296,11:14,0.1354,12:03,,16,Squid,CM,
6/5/25,CI 25,7.3105,8.7188,11:20,4.6918,12:05,,16,Squid,CI,
6/5/25,CI 26,11.939,12.5564,11:26,3.9853,12:05,,16,Squid,CI,
6/5/25,CI 27,7.347,8.5345,11:16,8.339,12:07,,16,Squid,CI,None eaten
6/5/25,CI 28,4.7755,4.7109,11:22,1.2712,12:08,,16,Squid,CI,
6/5/25,CM 29,5.978,7.9037,11:34,3.9102,12:09,,16,Squid,CM,
6/5/25,CM 30,1.2755,1.4153,11:11,0.319,12:10,,16,Squid,CM,
6/5/25,CM 31,3.8135,5.5223,11:38,4.221,12:10,,16,Squid,CM,
6/5/25,CI 32,11.5015,11.4035,11:28,11.4326,12:12,,16,Squid,CI,None eaten
6/5/25,CI 33,9.1145,11.5836,11:36,11.0678,12:11,,16,Squid,CI,None eaten
6/6/25,CM1,4.392,4.3836,1:20,0,1:52,,20,Squid,CM,All eaten
6/6/25,CM 2,4.581,4.929,2:15,3.3835,2:59,,20,Squid,CM,
6/6/25,CM 3,4.564,3.2367,2:16,0,2:59,,20,Squid,CM,All eaten
6/6/25,CM 4,3.4655,3.4269,1:01,1.0897,1:52,,20,Squid,CM,
6/6/25,CM 5,3.8625,4.1832,12:01,0.1929,1:32,,20,Squid,CM,
6/6/25,CM 6 ,3.5975,3.6008,12:54,1.9771,1:50,,20,Squid,CM,
6/6/25,CI 7,9.223,9.7609,1:14,6.742,1:50,,20,Squid,CI,
6/6/25,CI 8,11.029,12.3482,2:20,8.6095,3:05,,20,Squid,CI,
6/6/25,CI 9 ,8.878,9.5305,1:58,8.4696,2:58,,20,Squid,CI,
6/6/25,HS 10,0.315,0.3043,12:25,0.0253,1:56,,20,Squid,HS,
6/6/25,HS 11,0.2835,0.2886,12:25,0.0593,1:56,,20,Squid,HS,
6/6/25,HS 12,0.1095,0.1238,12:38,0,1:56,,20,Squid,HS,All eaten
6/6/25,HS 13,0.3605,0.4435,12:11,0,1:56,,20,Squid,HS,All eaten
6/6/25,HS 14 ,0.2395,0.2609,12:34,0.0513,1:59,,20,Squid,HS,
6/6/25,HS 15,0.2195,0.2605,12:40,0.1362,1:59,,20,Squid,HS,
6/6/25,HS 16,0.24,0.2359,1:09,0.06,2:11,,17,Squid,HS,
6/6/25, HS 17 ,0.332,0.4387,12:21,0.132,1:40,,17,Squid,HS,
6/6/25,HS 18,0.3015,0.3989,12:21,0.1205,1:40,,17,Squid,HS,
6/6/25,HS 19 ,0.1985,0.2166,12:41,0.241,1:45,,17,Squid,HS,
6/6/25,HS 20,0.14,0.1603,12:51,0.0353,1:45,,17,Squid,HS,
6/6/25,HS 21,0.142,0.1733,12:21,0.0984,1:45,,17,Squid,HS,
6/6/25,CM 22,3.213,3.2451,12:45,0.5941,2:05,,17,Squid,CM,
6/6/25,CM 23 ,2.3595,2.6182,11:45,0.5273,1:29,,17,Squid,CM,
6/6/25,CM 24 ,4.1085,3.7847,1:13,0,2:05,,17,Squid,CM,All eaten
6/6/25,CI 25,7.3105,6.6762,1:19,2.2692,2:05,,17,Squid,CI,
6/6/25,CI 26,11.939,12.0363,11:53,3.9538,1:38,,17,Squid,CI,
6/6/25,CI 27,7.347,9.8124,2:08,9.0275,3:00,,17,Squid,CI,
6/6/25,CI 28,4.7755,5.9997,12:59,3.6684,1.49,,17,Squid,CI,
6/6/25,CM 29,5.978,6.102,11:57,1.2352,1:33,,17,Squid,CM,
6/6/25,CM 30,1.2755,1.61,11:45,0,1:29,,17,Squid,CM,All eaten
6/6/25,CM 31,3.8135,3.7284,12:56,3.5631,1:37,,17,Squid,CM,
6/6/25,CI 32,11.5015,12.3576,2:20,6.268,3:01,,17,Squid,CI,
6/6/25,CI 33,9.1145,9.4744,1:16,9.8121,2:11,,17,Squid,CI,
6/6/25,CI 34,10.677,9.6125,2:25,9.3158,3:09,,20,Squid,CI,
6/6/25,CI 35,10.193,9.9458,12:05,9.5309,1:59,,20,Squid,CI,
6/6/25,CI 36,10.225,9.3488,2:16,6.8999,3:02,,20,Squid,CI,
6/9/25,CM1,5.2704,5.2167,10:41,0.5109,11:36,,20,Squid,CM,6% of body wgt
6/9/25,CM 2,4.581,4.774,10:43,1.1769,11:37,,20,Squid,CM,
6/9/25,CM 3,5.4768,5.8665,10:32,3.3458,11:37,,20,Squid,CM,6% of body wgt
6/9/25,CM 4,3.4655,3.8499,10:29,0.3524,11:38,,20,Squid,CM,
6/9/25,CM 5,3.8625,4.4615,10:53,0.9307,11:39,,20,Squid,CM,
6/9/25,CM 6 ,3.5975,3.7667,10:53,2.1253,11:39,,20,Squid,CM,
6/9/25,CI 7,9.223,9.8214,11:00,2.1253,11:40,,20,Squid,CI,
6/9/25,CI 8,11.029,11.5258,11:03,11.4937,11:41,,20,Squid,CI,Floating food
6/9/25,CI 9 ,8.628,8.3358,11:07,0.4408,11:50,,20,Squid,CI,
6/9/25,HS 10,0.315,0.3479,10:18,0,11:20,,20,Squid,HS,All eaten
