"","Input 0 Last (C)","Input 1 Last (C)","Input 2 Last (C)","Input 3 Last (C)","Input 4 Last (C)","Input 5 Last (C)"
"2025-07-22T10:32:59-04:00","18.130","18.123","27.325","27.328","27.203","27.380"
"2025-07-22T10:33:59-04:00","18.085","18.078","27.317","27.369","27.284","27.453"
"2025-07-22T10:34:59-04:00","18.080","18.109","27.507","27.415","27.374","27.547"
"2025-07-22T10:35:59-04:00","18.069","18.121","27.577","27.621","27.485","27.607"
"2025-07-22T10:36:59-04:00","18.077","18.103","27.264","27.334","27.250","27.371"
"2025-07-22T10:37:59-04:00","18.074","18.115","27.427","27.501","27.423","27.519"
"2025-07-22T10:38:59-04:00","18.079","18.087","27.598","27.650","27.554","27.653"
"2025-07-22T10:39:59-04:00","18.052","18.104","27.627","27.663","27.656","27.744"
"2025-07-22T10:40:59-04:00","18.083","18.131","27.701","27.867","27.779","27.797"
"2025-07-22T10:41:59-04:00","18.113","18.210","27.794","27.827","27.698","27.831"
"2025-07-22T10:42:59-04:00","18.181","18.318","27.529","27.607","27.548","27.662"
"2025-07-22T10:43:59-04:00","18.262","18.473","28.018","27.955","27.911","28.106"
"2025-07-22T10:44:59-04:00","18.307","18.556","27.735","27.801","27.713","27.864"
"2025-07-22T10:45:59-04:00","18.401","18.643","28.182","28.197","28.130","28.322"
"2025-07-22T10:46:59-04:00","18.529","18.822","27.992","28.036","27.944","28.062"
"2025-07-22T10:47:59-04:00","18.673","18.963","28.050","28.142","28.098","28.263"
"2025-07-22T10:48:59-04:00","18.750","19.110","27.960","28.063","28.008","28.141"
"2025-07-22T10:49:59-04:00","18.845","19.205","28.143","28.238","28.168","28.308"
"2025-07-22T10:50:59-04:00","18.966","19.401","28.168","28.168","28.120","28.193"
"2025-07-22T10:51:59-04:00","19.091","19.518","28.390","28.431","28.383","28.515"
"2025-07-22T10:52:59-04:00","19.232","19.645","28.471","28.530","28.409","28.537"
"2025-07-22T10:53:59-04:00","19.355","19.801","28.596","28.700","28.648","28.758"
"2025-07-22T10:54:59-04:00","19.638","19.924","28.508","28.538","28.402","28.446"
"2025-07-22T10:55:59-04:00","19.834","20.105","28.670","28.718","28.571","28.688"
"2025-07-22T10:56:59-04:00","19.905","20.049","28.188","28.243","28.162","28.320"
"2025-07-22T10:57:59-04:00","20.069","20.308","28.693","28.793","28.719","28.815"
"2025-07-22T10:58:59-04:00","20.201","20.480","28.498","28.575","28.479","28.693"
"2025-07-22T10:59:59-04:00","20.592","20.610","28.866","28.774","28.671","28.793"
"2025-07-22T11:00:59-04:00","20.508","20.758","28.319","28.393","28.297","28.510"
"2025-07-22T11:01:59-04:00","20.613","20.679","28.535","28.579","28.487","28.590"
"2025-07-22T11:02:59-04:00","20.770","21.141","28.699","28.787","28.779","28.901"
"2025-07-22T11:03:59-04:00","21.092","21.254","28.645","28.686","28.634","28.686"
"2025-07-22T11:04:59-04:00","21.215","21.432","28.526","28.552","28.448","28.636"
"2025-07-22T11:05:59-04:00","21.337","21.524","28.482","28.511","28.489","28.574"
"2025-07-22T11:06:59-04:00","21.542","21.800","28.617","28.687","28.732","28.783"
"2025-07-22T11:07:59-04:00","21.541","21.942","28.686","28.771","28.690","28.903"
"2025-07-22T11:08:59-04:00","21.810","22.086","28.944","29.073","28.874","28.984"
"2025-07-22T11:09:59-04:00","21.979","22.042","28.679","28.731","28.698","28.801"
"2025-07-22T11:10:59-04:00","22.145","22.307","28.970","29.007","28.930","29.114"
"2025-07-22T11:11:59-04:00","22.263","22.422","29.140","29.243","29.239","29.265"
"2025-07-22T11:12:59-04:00","22.489","22.581","29.060","29.259","29.171","29.230"
"2025-07-22T11:13:59-04:00","22.631","22.786","28.952","29.067","28.930","29.063"
"2025-07-22T11:14:59-04:00","22.784","22.986","29.237","29.311","29.160","29.234"
"2025-07-22T11:15:59-04:00","22.915","23.099","28.960","29.048","29.089","29.262"
"2025-07-22T11:16:59-04:00","23.088","23.316","29.277","29.398","29.233","29.292"
"2025-07-22T11:17:59-04:00","23.147","23.386","29.233","29.233","29.137","29.273"
"2025-07-22T11:18:59-04:00","23.266","23.550","28.877","28.958","28.932","28.988"
"2025-07-22T11:19:59-04:00","23.394","23.762","28.968","29.049","28.883","29.023"
"2025-07-22T11:20:59-04:00","23.540","23.926","29.099","29.206","29.103","29.114"
"2025-07-22T11:21:59-04:00","23.757","24.070","29.121","29.213","29.202","29.313"
"2025-07-22T11:22:59-04:00","24.055","24.272","29.199","29.408","29.269","29.394"
"2025-07-22T11:23:59-04:00","24.142","24.411","29.437","29.484","29.352","29.565"
"2025-07-22T11:24:59-04:00","24.306","24.586","29.225","29.292","29.225","29.336"
"2025-07-22T11:25:59-04:00","24.547","24.749","29.496","29.529","29.455","29.628"
"2025-07-22T11:26:59-04:00","24.679","24.922","29.458","29.631","29.639","29.756"
"2025-07-22T11:27:59-04:00","24.835","25.045","29.228","29.339","29.254","29.401"
"2025-07-22T11:28:59-04:00","25.036","25.143","29.197","29.172","29.127","29.326"
"2025-07-22T11:29:59-04:00","25.156","25.311","29.538","29.649","29.564","29.612"
"2025-07-22T11:30:59-04:00","25.315","25.459","29.455","29.466","29.341","29.469"
