"","Input 0 Last (C)","Input 1 Last (C)","Input 2 Last (C)","Input 3 Last (C)","Input 4 Last (C)","Input 5 Last (C)"
"2025-07-18T09:48:16-04:00","25.045","28.467","28.537","28.688","28.471","28.633"
"2025-07-18T09:49:16-04:00","24.610","28.477","28.491","28.510","28.326","28.547"
"2025-07-18T09:50:16-04:00","24.236","28.353","28.290","28.323","28.264","28.323"
"2025-07-18T09:51:16-04:00","23.915","28.514","28.536","28.555","28.474","28.569"
"2025-07-18T09:52:16-04:00","23.588","28.426","28.390","28.474","28.312","28.460"
"2025-07-18T09:53:16-04:00","23.360","28.547","28.636","28.728","28.669","28.731"
"2025-07-18T09:54:16-04:00","23.095","28.341","28.363","28.474","28.397","28.382"
"2025-07-18T09:55:16-04:00","22.785","28.702","28.698","28.852","28.779","28.915"
"2025-07-18T09:56:16-04:00","22.469","28.760","28.793","28.893","28.771","28.823"
"2025-07-18T09:57:16-04:00","22.112","28.517","28.525","28.547","28.385","28.525"
"2025-07-18T09:58:16-04:00","21.912","28.491","28.627","28.741","28.645","28.697"
"2025-07-18T09:59:16-04:00","21.799","28.547","28.477","28.492","28.455","28.643"
"2025-07-18T10:00:16-04:00","21.656","28.452","28.518","28.618","28.559","28.717"
"2025-07-18T10:01:16-04:00","21.579","28.846","28.772","28.864","28.621","28.732"
"2025-07-18T10:02:16-04:00","21.472","28.595","28.551","28.639","28.499","28.635"
"2025-07-18T10:03:16-04:00","21.431","28.892","28.936","29.006","28.914","29.120"
"2025-07-18T10:04:16-04:00","21.378","28.865","28.843","28.821","28.729","28.825"
"2025-07-18T10:05:16-04:00","21.346","28.793","28.789","28.878","28.705","28.933"
"2025-07-18T10:06:16-04:00","21.299","28.967","29.000","28.981","28.794","28.801"
"2025-07-18T10:07:16-04:00","21.296","28.743","28.684","28.765","28.592","28.817"
"2025-07-18T10:08:16-04:00","21.315","28.659","28.693","28.771","28.650","28.786"
"2025-07-18T10:09:16-04:00","21.354","28.521","28.580","28.616","28.429","28.543"
"2025-07-18T10:10:16-04:00","21.373","28.533","28.566","28.544","28.408","28.496"
"2025-07-18T10:11:16-04:00","21.421","28.316","28.268","28.294","28.184","28.375"
"2025-07-18T10:12:16-04:00","21.480","28.372","28.254","28.445","28.361","28.467"
"2025-07-18T10:13:16-04:00","21.476","28.541","28.596","28.692","28.500","28.629"
"2025-07-18T10:14:16-04:00","21.553","28.769","28.747","28.875","28.758","28.927"
"2025-07-18T10:15:16-04:00","21.556","28.716","28.602","28.583","28.528","28.639"
"2025-07-18T10:16:16-04:00","21.647","28.740","28.773","28.862","28.773","28.884"
"2025-07-18T10:17:16-04:00","21.677","28.576","28.509","28.605","28.458","28.572"
"2025-07-18T10:18:16-04:00","21.729","28.503","28.576","28.657","28.562","28.768"
"2025-07-18T10:19:16-04:00","21.802","28.491","28.605","28.711","28.535","28.693"
"2025-07-18T10:20:16-04:00","21.907","28.710","28.685","28.751","28.615","28.659"
"2025-07-18T10:21:16-04:00","21.963","28.674","28.722","28.725","28.534","28.582"
"2025-07-18T10:22:16-04:00","21.989","28.686","28.734","28.774","28.642","28.708"
"2025-07-18T10:23:16-04:00","22.087","28.444","28.422","28.481","28.352","28.489"
"2025-07-18T10:24:16-04:00","22.177","28.766","28.803","28.858","28.774","29.005"
"2025-07-18T10:25:16-04:00","22.201","28.651","28.780","28.846","28.692","28.784"
"2025-07-18T10:26:16-04:00","22.292","28.462","28.447","28.495","28.414","28.539"
"2025-07-18T10:27:16-04:00","22.365","28.494","28.472","28.583","28.480","28.631"
"2025-07-18T10:28:16-04:00","22.515","28.660","28.785","28.862","28.708","28.733"
"2025-07-18T10:29:16-04:00","22.597","28.322","28.333","28.363","28.245","28.429"
"2025-07-18T10:30:16-04:00","22.785","28.647","28.680","28.889","28.786","28.908"
"2025-07-18T10:31:16-04:00","22.882","28.544","28.584","28.596","28.375","28.481"
"2025-07-18T10:32:16-04:00","22.969","28.440","28.506","28.543","28.411","28.521"
"2025-07-18T10:33:16-04:00","23.031","28.598","28.638","28.708","28.653","28.819"
"2025-07-18T10:34:16-04:00","23.094","28.499","28.477","28.536","28.388","28.532"
"2025-07-18T10:35:16-04:00","23.359","28.724","28.757","28.863","28.779","28.863"
"2025-07-18T10:36:16-04:00","23.309","28.773","28.777","28.835","28.629","28.743"
"2025-07-18T10:37:16-04:00","23.415","28.834","28.904","28.963","28.831","29.026"
"2025-07-18T10:38:16-04:00","23.506","28.558","28.635","28.653","28.602","28.793"
"2025-07-18T10:39:16-04:00","23.733","28.862","28.826","28.918","28.818","28.929"
"2025-07-18T10:40:16-04:00","23.714","28.832","28.762","28.913","28.780","28.935"
"2025-07-18T10:41:16-04:00","23.810","28.813","28.939","29.016","28.891","29.034"
"2025-07-18T10:42:16-04:00","23.956","28.828","28.850","28.905","28.795","28.909"
"2025-07-18T10:43:16-04:00","24.117","28.657","28.639","28.628","28.470","28.624"
"2025-07-18T10:44:16-04:00","24.089","28.836","28.780","28.825","28.722","28.883"
"2025-07-18T10:45:16-04:00","24.299","28.810","28.835","28.876","28.707","28.902"
"2025-07-18T10:46:16-04:00","24.413","28.611","28.574","28.596","28.464","28.530"
"2025-07-18T10:47:16-04:00","24.635","28.384","28.483","28.572","28.417","28.539"
"2025-07-18T10:48:16-04:00","24.720","28.440","28.488","28.535","28.436","28.528"
"2025-07-18T10:49:16-04:00","24.481","28.393","28.352","28.267","28.187","28.312"
"2025-07-18T10:50:16-04:00","24.765","28.742","28.658","28.694","28.529","28.647"
"2025-07-18T10:51:16-04:00","24.920","28.563","28.611","28.673","28.559","28.666"
"2025-07-18T10:52:16-04:00","25.034","28.725","28.765","28.828","28.702","28.802"
"2025-07-18T10:53:16-04:00","25.203","28.813","28.794","28.780","28.621","28.802"
"2025-07-18T10:54:16-04:00","25.295","28.775","28.760","28.926","28.852","29.058"
"2025-07-18T10:55:16-04:00","25.162","28.911","29.032","29.150","28.984","29.150"
"2025-07-18T10:56:16-04:00","25.256","28.976","28.965","29.039","28.936","29.009"
"2025-07-18T10:57:16-04:00","25.374","28.704","28.759","28.851","28.729","28.840"
"2025-07-18T10:58:16-04:00","25.432","28.806","28.832","28.883","28.663","28.795"
"2025-07-18T10:59:16-04:00","25.602","29.315","29.300","29.425","29.311","29.491"
"2025-07-18T11:00:16-04:00","25.718","29.158","29.188","29.280","29.247","29.375"
"2025-07-18T11:01:16-04:00","25.816","29.095","29.201","29.260","29.095","29.198"
"2025-07-18T11:02:16-04:00","25.882","29.172","29.179","29.242","29.054","29.194"
"2025-07-18T11:03:16-04:00","25.912","29.003","29.047","29.061","28.877","29.054"
"2025-07-18T11:04:16-04:00","26.130","29.198","29.194","29.279","29.066","29.275"
"2025-07-18T11:05:16-04:00","26.164","29.211","29.255","29.244","29.145","29.211"
"2025-07-18T11:06:16-04:00","26.291","28.565","28.602","28.701","28.558","28.635"
"2025-07-18T11:07:16-04:00","26.390","28.789","28.844","28.895","28.825","28.899"
"2025-07-18T11:08:16-04:00","26.488","28.806","28.758","28.758","28.626","28.777"
"2025-07-18T11:09:16-04:00","26.606","28.706","28.725","28.754","28.754","28.898"
"2025-07-18T11:10:16-04:00","26.685","29.103","29.158","29.169","29.103","29.180"
"2025-07-18T11:11:16-04:00","26.806","29.341","29.381","29.440","29.330","29.356"
"2025-07-18T11:12:16-04:00","26.908","29.204","29.219","29.377","29.237","29.267"
"2025-07-18T11:13:16-04:00","26.949","29.156","29.057","29.127","28.928","29.064"
"2025-07-18T11:14:16-04:00","27.066","28.825","28.810","28.946","28.806","28.920"
"2025-07-18T11:15:16-04:00","27.235","29.405","29.347","29.417","29.325","29.409"
"2025-07-18T11:16:16-04:00","27.301","28.750","28.809","28.894","28.739","28.857"
"2025-07-18T11:17:16-04:00","27.373","28.863","28.907","28.911","28.848","29.095"
